word	emotion
脏乱	negative
糟报	negative
早衰	negative
责备	negative
贼眼	negative
战祸	negative
招灾	negative
折辱	negative
中山狼	negative
诪张	negative
株连	negative
坠毁	negative
滋生	negative
自恃	negative
走后门	negative
阻力	negative
罪状	negative
做戏	negative
哀鸿遍野	negative
肮里肮脏	negative
冰炭不相容	negative
不成话	negative
昭然若揭	negative
有口无心	negative
不干不净	negative
手脚不干净	negative
索然寡味	negative
死板板	negative
松垮垮	negative
危在旦夕	negative
无纪律	negative
无实质	negative
险峭	negative
不明不白	negative
不清不白	negative
不透明	negative
不雅	negative
不足为外人道	negative
玄妙	negative
长长短短	negative
罪恶多端	negative
皱巴	negative
朝不谋夕	negative
逞性子	negative
臭名昭彰	negative
寸草不生	negative
哀梨蒸食	negative
刀光剑影	negative
度量小	negative
翻云覆雨	negative
风刀霜剑	negative
腐化堕落	negative
高不成低不就	negative
孤单单	negative
寡断	negative
乖剌	negative
含糊不清	negative
毫不客气	negative
黑森森	negative
胡子拉碴	negative
荒诞派	negative
荒淫无度	negative
灰蒙蒙	negative
晦暝	negative
昏黑	negative
板脸	negative
抱疚	negative
憋着一肚子气	negative
愁惨	negative
掉魂	negative
发牢骚	negative
烦神	negative
忿忿不平	negative
惶然不安	negative
急死	negative
介意	negative
举棋不定	negative
口诛笔伐	negative
拉不下脸来	negative
骂得狗血喷头	negative
怒火冲天	negative
气愤愤	negative
歉然	negative
人身攻击	negative
数落	negative
痛责	negative
下不了台	negative
追悔莫及	negative
彷徨	negative
恨不得	negative
忘乎所以	negative
尖嘴薄舌	negative
心如铁石	negative
见风转舵	negative
竭蹶	negative
彪壮	negative
可骇	negative
空落落	negative
枯寂	negative
苦口	negative
狂恣	negative
老辣	negative
肋脦	negative
哩哩罗罗	negative
伶仃	negative
令人厌倦	negative
碌碌无为	negative
马马虎虎	negative
莽莽撞撞	negative
没骨头	negative
没两下子	negative
没心眼儿	negative
迷糊	negative
模棱两可	negative
少见多怪	negative
难上难	negative
一塌糊涂	negative
只顾自身利益	negative
难驯服	negative
闹闹嚷嚷	negative
贫寒	negative
铺张浪费	negative
奇丑无比	negative
清苦	negative
穷途潦倒	negative
缺乏幽默	negative
弱智	negative
色迷迷	negative
傻里傻气	negative
神不知，鬼不觉	negative
失落	negative
食古不化	negative
喧天	negative
捉摸不定	negative
滑天下之大稽	negative
上赶	negative
鼠胆	negative
浅显	negative
心胸狭隘	negative
性格内向	negative
越轨	negative
哀莫大于心死	negative
猫鼠同处	negative
四海鼎沸	negative
出疆载质	negative
委国听令	negative
国步艰难	negative
溽热	negative
偏疼	negative
娇惯	negative
急若流星	negative
愤懑	negative
悲愤	negative
勃然大怒	negative
含怒	negative
恼羞成怒	negative
忿怒	negative
七窍生烟	negative
发标	negative
怒容	negative
吹胡子	negative
唱老生的生气－吹胡子瞪眼镜	negative
暴跳如雷	negative
戟指怒目	negative
怒形于色	negative
怒目切齿	negative
城下之盟	negative
悲恸	negative
悲哀	negative
悲伤	negative
衔冤	negative
心如刀割	negative
痛惜	negative
悲酸	negative
举目无亲	negative
洒泪	negative
啜泣	negative
号啕	negative
最后一根稻草	negative
抚髀兴叹	negative
参辰卯酉	negative
倒霉	negative
哀感天地	negative
惨不忍闻	negative
不胜其苦	negative
叹息	negative
悲号	negative
诚惶诚恐	negative
魂飞魄散	negative
面如土色	negative
疑惧	negative
幽灵	negative
三伏天发抖－不寒而栗	negative
吞吞吐吐	negative
不可终日	negative
栗栗危惧	negative
夏日可畏	negative
败类	negative
剥削	negative
猖獗	negative
臭架子	negative
苟延残喘	negative
悍然	negative
伎俩	negative
党羽	negative
讹诈	negative
飞扬跋扈	negative
复辟	negative
老狐狸	negative
笼络	negative
厌恶	negative
可憎	negative
叛徒	negative
欺凌	negative
敲诈	negative
屈辱	negative
轻蔑	negative
撒赖	negative
伤天害理	negative
为所欲为	negative
乌合之众	negative
吸血鬼	negative
阴谋	negative
指鹿为马	negative
罪有应得	negative
看轻	negative
兽行	negative
贪色	negative
作践	negative
凶相毕露	negative
棺材老板咬牙－恨不死人	negative
行同狗彘	negative
视如寇仇	negative
切齿腐心	negative
令人作呕	negative
不以为然	negative
文人相轻	negative
王八蛋	negative
姘妇	negative
揶揄	negative
癞皮狗	negative
元凶	negative
妖孽	negative
骚货	negative
中伤	negative
嘈杂	negative
苦恼	negative
犯愁	negative
颓然	negative
忍气吞声	negative
不耐烦	negative
焦炙	negative
疑念	negative
愧恨	negative
沉寂	negative
愁肠寸断	negative
忧心如薰	negative
生吞蜈蚣－百爪挠心	negative
贫穷	negative
无所措手足	negative
不如意事常八九	negative
燥热	negative
将就	negative
羞愧	negative
脸红	negative
无面目见江东父老	negative
抱愧	negative
愧怍	negative
悔恨	negative
愧悔无地	negative
船到江心补漏迟	negative
慌乱	negative
如坐针毡	negative
心焦	negative
张皇	negative
浮躁	negative
周章	negative
心如悬旌	negative
鞋里长草－慌了脚	negative
紧急	negative
五色无主	negative
脚忙手乱	negative
心如火焚	negative
死心	negative
心灰意冷	negative
不可企及	negative
怀揣冰棍－凉透心	negative
嫉妒	negative
醋意	negative
忧人发迹怕自穷	negative
猜忌	negative
疑团	negative
田里的蚯蚓－满肚疑	negative
败家子	negative
闭门造车	negative
草包	negative
乘人之危	negative
记仇	negative
妄求	negative
人浮于事	negative
分崩离析	negative
人欲横流	negative
秋荼密网	negative
欺瞒夹账	negative
卖官鬻狱	negative
夺人所好	negative
营私舞弊	negative
卖友求荣	negative
金迷纸醉	negative
天下箸处	negative
难于上天	negative
唱筹量沙	negative
以人废言	negative
越凫楚乙	negative
东躲西藏	negative
大相径庭	negative
判若云泥	negative
天悬地隔	negative
坠茵落溷	negative
握蛇骑虎	negative
日暮穷途	negative
山重水复	negative
抱火寝薪	negative
三反四覆	negative
智者千虑，必有一失	negative
同归于尽	negative
火上浇油	negative
先天不足	negative
乘风转舵	negative
以火救火	negative
敢怒不敢言	negative
致死不悟	negative
我行我素	negative
五马分尸	negative
黄口稚子	negative
天有不测风云	negative
茫无头绪	negative
不知天高地厚	negative
干啼湿哭	negative
泣下沾襟	negative
嘘唏不已	negative
立锥之地	negative
旁门左道	negative
大难临头	negative
骨瘦如柴	negative
药店飞龙	negative
不治之症	negative
披麻戴孝	negative
鳏寡孤独	negative
离群索居	negative
不经之谈	negative
混为一谈	negative
游谈无根	negative
巧言花语	negative
口头禅	negative
多嘴多舌	negative
唠唠叨叨	negative
絮絮叨叨	negative
即即世世	negative
隐晦曲折	negative
耳食之谈	negative
靠天吃饭	negative
强龙不压地头蛇	negative
倚官仗势	negative
不耕而食，不蚕而衣	negative
欺罔视听	negative
甜嘴蜜舌	negative
前门进虎，后门进狼	negative
在劫难逃	negative
草衣木食	negative
等米下锅	negative
家道壁立	negative
纳履踵决	negative
飞短流长	negative
薏苡明珠	negative
关门闭户	negative
豺狐之心	negative
瓜蔓抄	negative
玉粒桂薪	negative
债台高筑	negative
无拳无勇	negative
迟疑不决	negative
仓卒应战	negative
犹豫不定	negative
低首下心	negative
盖不由己	negative
锱铢必较	negative
张公吃酒李公醉	negative
鼠窜狼奔	negative
嘴甜心苦	negative
强盗挂念珠	negative
见事风生	negative
报仇雪恨	negative
招权纳赂	negative
缓不济急	negative
屏声息气	negative
歧路亡羊	negative
冬扇夏炉	negative
喧宾夺主	negative
日月交食	negative
漏脯充饥	negative
束手待毙	negative
抛头露面	negative
原形毕露	negative
人民城郭	negative
自相残杀	negative
强人所难	negative
有隙可乘	negative
欺善怕恶	negative
肆意横行	negative
横行天下	negative
知情不举	negative
博士买驴	negative
屦贱踊贵	negative
结党营私	negative
招降纳叛	negative
任其自便	negative
惹祸招殃	negative
招风惹草	negative
鼓噪而起	negative
出乖露丑	negative
草草收兵	negative
图谋不轨	negative
贪欢逐乐	negative
除恶务尽	negative
评头品足	negative
胆大包天	negative
涸泽而渔	negative
搔头弄姿	negative
逼上梁山	negative
蜀犬吠日	negative
折足覆餗	negative
土牛木马	negative
玉卮无当	negative
鸠形鹄面	negative
袒裼裸裎	negative
苟合取容	negative
头童齿豁	negative
如到宝山空手回	negative
大厦将倾，一木难支	negative
兵败如山倒	negative
弃甲倒戈	negative
望风破胆	negative
彩凤随鸦	negative
一事无成	negative
不肖子孙	negative
虚度年华	negative
怙恶不悛	negative
一丘之貉	negative
偷东摸西	negative
紧行无好步	negative
放虎自卫	negative
谬种流传	negative
粗服乱头	negative
阿其所好	negative
冥室椟棺	negative
不辨龙蛇	negative
鹦鹉学舌	negative
投机倒把	negative
以耳为目	negative
咎由自取	negative
引狗入寨	negative
自讨没趣	negative
姗姗来迟	negative
倾家荡产	negative
蠹众木折	negative
化为泡影	negative
尺布斗栗	negative
漏泄春光	negative
摇旗打鼓	negative
徙宅忘妻	negative
恃勇轻敌	negative
赤身露体	negative
淡妆浓抹	negative
拐弯抹角	negative
虚情假意	negative
敬而远之	negative
得薄能鲜	negative
马齿徒增	negative
昂首望天	negative
独弦哀歌	negative
居功自傲	negative
自高其功	negative
贪名爱利	negative
封豕长蛇	negative
蛇吞象	negative
眼馋肚饱	negative
BS	negative
无语	negative
八婆	negative
包子	negative
呕像	negative
MPJ	negative
固执	negative
浑水摸鱼	negative
得寸进尺	negative
尔虞我诈	negative
空洞	negative
婆婆妈妈	negative
滥竽充数	negative
猎取	negative
蛮横	negative
擅自	negative
拈轻怕重	negative
漠然	negative
怨尤	negative
暴烈	negative
偏见	negative
招摇	negative
千篇一律	negative
骄矜	negative
求全责备	negative
势利	negative
挑剔	negative
偷懒	negative
畏葸不前	negative
无稽之谈	negative
无中生有	negative
犯疑心病	negative
叶公好龙	negative
变节	negative
灭绝人性	negative
奸险	negative
猥劣	negative
奸诈	negative
诡诈	negative
浇薄	negative
虚骄	negative
不自量力	negative
老气横秋	negative
狂气	negative
刚愎	negative
小心眼	negative
陋习	negative
阳奉阴违	negative
随风倒	negative
自私自利	negative
鄙俗	negative
蛮不讲理	negative
轻率	negative
愚鲁	negative
摇头摆尾	negative
蠢笨	negative
愚顽	negative
儇薄	negative
水性杨花	negative
贪嘴	negative
愚直	negative
怪诞	negative
浮皮潦草	negative
毛手毛脚	negative
食言	negative
鬼祟	negative
出圈儿	negative
奴颜媚骨	negative
欺哄	negative
耍滑	negative
耍赖	negative
恣意妄为	negative
闲散	negative
兔死狗烹	negative
蛮勇	negative
自恋	negative
有勇无谋	negative
不识人间有羞耻事	negative
辱门败户	negative
慢腾腾	negative
人心似铁	negative
盲用	negative
慢慢吞吞	negative
孤行己见	negative
强横霸道	negative
萧规曹随	negative
左右袒	negative
干巴	negative
化公为私	negative
权欲熏心	negative
猥鄙	negative
膏粱子弟	negative
淫秽	negative
艳情	negative
口角	negative
冷酷无情	negative
有理无情	negative
耍滑头	negative
身单力薄	negative
错误百出	negative
生吞活剥	negative
臭名昭著	negative
发酸	negative
言之无物	negative
傲物	negative
摆款儿	negative
板荡	negative
暴政	negative
兵痞	negative
财迷	negative
惊吓	negative
心血来潮	negative
享乐	negative
草寇	negative
插足	negative
谗佞	negative
伥鬼	negative
吵人	negative
尘嚣	negative
称霸	negative
吃心	negative
齿冷	negative
忡忡	negative
丑事	negative
憷头	negative
吹擂	negative
蠢话	negative
刺儿话	negative
窜犯	negative
篡位	negative
错会	negative
呆子	negative
刀俎	negative
盗匪	negative
盗用	negative
敌特	negative
颠沛	negative
丢份	negative
毒贩	negative
赌棍	negative
断代	negative
恶疾	negative
恶性	negative
贰臣	negative
法盲	negative
反侧	negative
饭桶	negative
放刁	negative
非人	negative
匪祸	negative
分赃	negative
奉迎	negative
浮夸	negative
负隅	negative
官僚	negative
惯贼	negative
鬼子	negative
叮咛	negative
国耻	negative
过头	negative
黑金	negative
后门	negative
虎口	negative
幻灭	negative
谎话	negative
毁约	negative
秽行	negative
混账	negative
挤占	negative
假手	negative
进犯	negative
拘牵	negative
懒怠	negative
空论	negative
宽纵	negative
捞摸	negative
勒抑	negative
冷遇	negative
敛财	negative
凌夷	negative
流气	negative
露丑	negative
乱民	negative
沦丧	negative
落套	negative
埋汰	negative
毛子	negative
没样儿	negative
媚外	negative
密谋	negative
冥顽	negative
磨烦	negative
呶呶	negative
闹架	negative
闹灾	negative
啮噬	negative
奴化	negative
殴打	negative
攀诬	negative
旁骛	negative
皮囊	negative
偏差	negative
剽取	negative
破财	negative
歧途	negative
起哄	negative
前愆	negative
枪替	negative
抢劫	negative
窃夺	negative
侵袭	negative
倾轧	negative
求全	negative
取闹	negative
缺点	negative
饶舌	negative
认头	negative
辱命	negative
杀机	negative
蛇头	negative
生事	negative
失范	negative
失算	negative
手黑	negative
受苦	negative
受制	negative
衰颓	negative
搜刮	negative
损伤	negative
贪贿	negative
逃兵	negative
体罚	negative
偷盗	negative
透顶	negative
蜕化	negative
歪理	negative
顽梗	negative
妄人	negative
威胁	negative
违纪	negative
窝主	negative
芜杂	negative
嬉皮士	negative
瞎扯	negative
嫌忌	negative
险阻	negative
萧索	negative
邪魔	negative
泄密	negative
凶犯	negative
凶杀	negative
熊包	negative
虚话	negative
虚妄	negative
眩惑	negative
压制	negative
掩饰	negative
妖风	negative
窑子	negative
一窝蜂	negative
疑忌	negative
异端	negative
阴湿	negative
淫画	negative
引诱	negative
庸才	negative
诱胁	negative
迂气	negative
愚民	negative
郁然	negative
冤孽	negative
怨仇	negative
怨懑	negative
杂念	negative
灾祸	negative
不甘心	negative
偏袒	negative
心如死灰	negative
拨弄	negative
光棍	negative
憎恶	negative
不足挂齿	negative
懒散	negative
粗重	negative
不甘	negative
虚伪	negative
遗臭万年	negative
息事宁人	negative
坏事	negative
崩溃	negative
得过且过	negative
心惊肉跳	negative
赘疣	negative
萧瑟	negative
摆布	negative
妻离子散	negative
打掩护	negative
尸位素餐	negative
漠不关心	negative
有头无尾	negative
妖媚	negative
碌碌	negative
不周	negative
鼠辈	negative
幼稚	negative
风声鹤唳	negative
杞人忧天	negative
平庸	negative
无所事事	negative
驴唇不对马嘴	negative
私自	negative
陷落	negative
心慌意乱	negative
百孔千疮	negative
疏忽	negative
老调	negative
放火	negative
荒漠	negative
蠢动	negative
牵连	negative
天翻地覆	negative
烦扰	negative
祸胎	negative
心虚	negative
昏沉	negative
身不由己	negative
欠缺	negative
千钧一发	negative
马大哈	negative
沉痛	negative
虚度	negative
徘徊	negative
幌子	negative
丢脸	negative
畜生	negative
赤裸裸	negative
狂暴	negative
说嘴	negative
愁眉不展	negative
侈谈	negative
纷乱	negative
拐子	negative
泛泛	negative
软弱	negative
莫须有	negative
沉痼	negative
拘泥	negative
空想	negative
见不得人	negative
半半拉拉	negative
岔子	negative
抬杠	negative
抽风	negative
疙瘩	negative
惨绝人寰	negative
零星	negative
危亡	negative
困顿	negative
瞎说	negative
急转直下	negative
解决	negative
惶惶不可终日	negative
销魂	negative
荒废	negative
凌虐	negative
垂头丧气	negative
背时	negative
阴沉	negative
栽赃	negative
脏污	negative
噪聒	negative
责罚	negative
贼赃	negative
肢解	negative
滞销	negative
周折	negative
装糊涂	negative
捉弄	negative
滋事	negative
走内线	negative
嘴长	negative
罪孽	negative
作死	negative
坐误	negative
爱搭不理	negative
板板六十四	negative
背地里	negative
秉性剌戾	negative
唯命是从	negative
不到黄河心不死	negative
不对茬儿	negative
不敬	negative
手无缚鸡之力	negative
体力不支	negative
私下	negative
松散散	negative
太随便	negative
蜕化变质	negative
唯我独尊	negative
无价值	negative
无吸引力	negative
险象环生	negative
不名一文	negative
不清不楚	negative
不妥	negative
不宜	negative
不羁	negative
惨无人道	negative
岌岌不可终日	negative
罪恶深重	negative
朝不虑夕	negative
吃不开	negative
臭气冲天	negative
大错而特错	negative
呆钝	negative
道德败坏	negative
低人一等	negative
刁恶	negative
短视	negative
繁复	negative
废旧	negative
腐朽没落	negative
疙里疙瘩	negative
孤孤单单	negative
寡了叭叽	negative
怪里怪气	negative
含糊其词	negative
毫无价值	negative
黑灯瞎火	negative
黑黢黢	negative
糊糊涂涂	negative
荒诞无稽	negative
荒瘠	negative
灰头灰脸	negative
炙手可热	negative
婚外	negative
搥胸顿足	negative
板面孔	negative
不待见	negative
猜疑	negative
千里馈粮	negative
愁眉紧锁	negative
打骂	negative
堵得慌	negative
发怔	negative
烦厌	negative
骇然失色	negative
后悔莫及	negative
悔不该	negative
急眼	negative
看扁	negative
哭丧着脸	negative
拉长个脸	negative
脸红耳热	negative
骂骂咧咧	negative
闷郁	negative
怒骂	negative
气鼓鼓	negative
瞧不上	negative
柔肠百结	negative
说风凉话	negative
投诉	negative
向隅而泣	negative
心惊胆颤	negative
羞臊	negative
幽忧	negative
战兢兢	negative
自疚	negative
怅然	negative
妒火中烧	negative
恨不能	negative
家贫如洗	negative
小里小气	negative
奸恶	negative
见识短浅	negative
狡计多端	negative
结结巴巴	negative
精力枯竭	negative
窘急	negative
剧毒	negative
狂傲	negative
困难重重	negative
狼籍	negative
老派	negative
冷峻	negative
离心离德	negative
哩溜歪斜	negative
令人困倦	negative
令人生气	negative
乱虐并生	negative
乱蓬蓬	negative
卖不掉	negative
猫哭老鼠	negative
没好气	negative
没轻没重	negative
没用	negative
绵里藏针	negative
命苦	negative
目光凶狠	negative
难说话	negative
一无所长	negative
质量差	negative
拥挤不堪	negative
难以	negative
闹嚷嚷	negative
盘根错节	negative
蓬散	negative
七零八落	negative
强制性	negative
清冷	negative
囚首垢面	negative
缺心眼	negative
人不知，鬼不觉	negative
冗赘	negative
若明若暗	negative
骚乱性	negative
傻头傻脑	negative
神不知鬼不觉	negative
十恶不赦	negative
十室九空	negative
自命清高	negative
过谦	negative
花哨	negative
未成熟	negative
性情急躁	negative
有毒	negative
有失身分	negative
羽毛未丰	negative
灾难性	negative
矮子看戏	negative
为国捐躯	negative
破家危国	negative
误国殄民	negative
大权旁落	negative
铜驼荆棘	negative
内忧外患	negative
哄笑	negative
弹冠相庆	negative
怜悯	negative
娇养	negative
舍不得	negative
民怨沸腾	negative
悲愤交加	negative
大动肝火	negative
火气	negative
怒不可遏	negative
惹气	negative
窝火	negative
光火	negative
无明火	negative
耍态度	negative
触怒	negative
怒色	negative
犯肝气	negative
吃了芋头不下肚－顶心顶肺	negative
勃然变色	negative
雷霆之怒	negative
拍案而起	negative
切齿愤盈	negative
悲痛	negative
哀痛	negative
心酸	negative
怏怏	negative
悲痛欲绝	negative
伤悲	negative
心如刀绞	negative
可惜	negative
抱屈	negative
悲辛	negative
苦头	negative
人地生疏	negative
挥泪	negative
抽咽	negative
痛哭	negative
叹气	negative
孤独	negative
髀肉复生	negative
触景生情	negative
长亭短亭	negative
幽明永隔	negative
短暂	negative
捶胸顿足	negative
凄风苦雨	negative
撑船的竹蒿－提起泪流	negative
泪如秋夜雨－一点一声愁	negative
钢刀吞肚里－割心肠	negative
黄连水里泡竹笋－苦透了	negative
沉冤莫白	negative
创巨痛深	negative
寂寥	negative
悲鸣	negative
惊惶	negative
担惊受怕	negative
惊慌失措	negative
面无人色	negative
唯恐	negative
缩头缩尾	negative
阴森	negative
严酷	negative
山羊见了老虎皮－望而生畏	negative
有口难言	negative
侧目而视	negative
毛发森竖	negative
胁肩累足	negative
暗礁	negative
败露	negative
残暴	negative
猖狂	negative
臭味相投	negative
狗腿子	negative
黑心肠	negative
倒行逆施	negative
恶霸	negative
诽谤	negative
狂妄	negative
老奸巨滑	negative
掠夺	negative
嫌恶	negative
该死	negative
抱恨	negative
恶毒	negative
欺世盗名	negative
敲诈勒索	negative
嫌怨	negative
罄竹难书	negative
看不惯	negative
蔑视	negative
忌恨	negative
打入冷宫	negative
顽抗	negative
惟利是图	negative
乌烟瘴气	negative
阴险	negative
众叛亲离	negative
罪在不赦	negative
唾弃	negative
邪行	negative
惨毒	negative
可笑	negative
蒙骗	negative
轻侮	negative
记恨	negative
叫化子过瘾－讨厌	negative
剥皮抽筋	negative
切齿拊心	negative
人言啧啧	negative
不值一钱	negative
言者谆谆，听者藐藐	negative
夜叉	negative
奸妇	negative
反唇相讥	negative
坏蛋	negative
蛇蝎	negative
祸水	negative
贱货	negative
訾议	negative
有哭有闹	negative
矮子	negative
败家	negative
窝心	negative
无聊	negative
忧郁	negative
不好过	negative
烦恼	negative
没精打采	negative
惘然	negative
心烦	negative
怃然	negative
嗒然	negative
难忍	negative
顾虑	negative
心浮	negative
愁肠百结	negative
失悔	negative
困扰	negative
繁重	negative
愁眉苦眼	negative
忧形于色	negative
伍子胥过韶关－一夜愁白了头	negative
穷困	negative
无所适从	negative
无病自灸	negative
不死不活	negative
勉为其难	negative
费解	negative
败诉	negative
赧然	negative
面红耳赤	negative
羞面见人	negative
对不起	negative
问心有愧	negative
负疚	negative
亏心	negative
悔恨交加	negative
既有今日，何必当初	negative
惊慌	negative
发急	negative
心急火燎	negative
芒刺在背	negative
着慌	negative
心切	negative
手忙脚乱	negative
匆猝	negative
心神不定	negative
进网的鱼虾－慌了手脚	negative
紧迫	negative
仓卒从事	negative
临阵磨枪	negative
不尴不尬	negative
绝望	negative
惋惜	negative
遗憾	negative
买牛得羊－大失所望	negative
举步维艰	negative
嫉恨	negative
醋劲	negative
谤毁	negative
顿生疑窦	negative
疑问	negative
邮包掉进水田－半信半疑	negative
半途而废	negative
弊病	negative
草率	negative
迟钝	negative
居心不良	negative
苛求	negative
实繁有徒	negative
昏天暗地	negative
日月无光	negative
人人得而诛之	negative
拔十得五	negative
大材小用	negative
窃据要津	negative
瞒天昧地	negative
欺人以方	negative
贪财好贿	negative
擅自为谋	negative
植党营私	negative
草间求活	negative
墨迹未干	negative
肥马轻裘	negative
锦衣玉食	negative
钟鸣鼎食	negative
画饼充饥	negative
十死一生	negative
众口难调	negative
涸辙之鲋	negative
进退失据	negative
脆而不坚	negative
内外交困	negative
生灵涂炭	negative
英雄无用武之地	negative
虎穴龙潭	negative
以管窥天	negative
毫末之差	negative
方以类聚	negative
疾不可为	negative
多此一举	negative
颠来倒去	negative
再三再四	negative
风流罪过	negative
釜底游鱼	negative
不见经传	negative
看人行事	negative
以水救水	negative
豪迈不群	negative
本性难移	negative
鱼龙曼衍	negative
垂暮之年	negative
一误再误	negative
论甘忌辛	negative
舞文弄墨	negative
蹈人旧辙	negative
泥古非今	negative
千头百绪	negative
一塌胡涂	negative
长他人志气，灭自己威风	negative
酒色财气	negative
分钗断带	negative
潸然泪下	negative
齐大非耦	negative
窑宅之所	negative
安富尊容	negative
地坼天崩	negative
流离失所	negative
遍体鳞伤	negative
二竖之顽	negative
死于非命	negative
寝苫枕块	negative
形单影只	negative
六亲无靠	negative
臭不可当	negative
出言无状	negative
欺人之谈	negative
语无伦次	negative
浮语虚词	negative
夸大其词	negative
贫嘴贱舌	negative
呶呶不休	negative
按图所骏	negative
狗血喷头	negative
搜索枯肠	negative
负荆请罪	negative
隐约其辞	negative
贵耳贱目	negative
今朝有酒今朝醉	negative
穷鸟入怀	negative
人多势众	negative
倚酒三分醉	negative
不劳而获	negative
悠悠荡荡	negative
一傅众修	negative
洪水猛兽	negative
三灾八难	negative
众口嗷嗷	negative
赤贫如洗	negative
二旬九食	negative
家无儋石	negative
牛衣对泣	negative
吮痈舐痔	negative
食不糊口	negative
飞言醋语	negative
吴市吹箫	negative
一贫如洗	negative
调三窝四	negative
俾昼作夜	negative
贪财恋色	negative
豺虎肆虐	negative
桀骜不驯	negative
悖入悖出	negative
腥风血雨	negative
诛锄异己	negative
暗弱无断	negative
师不宿饱	negative
当断不断	negative
狐埋狐搰	negative
筑室道谋	negative
奴颜婢睐	negative
降心相从	negative
随声是非	negative
寸量铢称	negative
动辄得咎	negative
逃之夭夭	negative
虚张声势	negative
素口骂人	negative
推波作浪	negative
夜场梦多	negative
被发缨冠	negative
黑云压城城欲摧	negative
清官难断家务事	negative
耳视目食	negative
以白为黑	negative
势不俱栖	negative
心腹之患	negative
束手就擒	negative
情见势屈	negative
矫枉过正	negative
斗升之水	negative
自相水火	negative
望文生义	negative
冒名顶替	negative
柔茹刚吐	negative
肆意妄为	negative
鸠占鹊巢	negative
不今不古	negative
袍笏登场	negative
钻故纸堆	negative
拉拉扯扯	negative
惹祸招灾	negative
招是惹非	negative
轩然大波	negative
春蚕自缚	negative
孤行几见	negative
敷衍了事	negative
以身试法	negative
陶陶兀兀	negative
晓风残月	negative
打落水狗	negative
索垢寻疵	negative
胆大如斗	negative
举鼎绝膑	negative
惺惺作态	negative
官逼民反	negative
博而不精	negative
蟪蛄不知春秋	negative
吴下阿蒙	negative
夏虫不可以语冰	negative
操刀伤锦	negative
志大才疏	negative
土牛石田	negative
贼人胆虚	negative
可同患，难处安	negative
好戴高帽	negative
蹉跎自误	negative
披头散发	negative
宝山空回	negative
时乖命蹇	negative
短针攻疽	negative
残兵败将	negative
弃甲丢盔	negative
一败如水	negative
碌碌无能	negative
一无可取	negative
东游西荡	negative
不齿于人	negative
狼奔豕突	negative
助桀为虐	negative
偷鸡摸狗	negative
一口吸尽西江水	negative
负薪救火	negative
适得其反	negative
换汤不换药	negative
笨口拙舌	negative
一窍不通	negative
暗送秋波	negative
望风承旨	negative
披枷带锁	negative
不知好歹	negative
黎丘丈人	negative
投机取巧	negative
开门揖盗	negative
引鬼上门	negative
因循坐误	negative
桑落瓦解	negative
不速之客	negative
天壤王朗	negative
化为乌有	negative
水至清则无鱼	negative
金屋藏娇	negative
悬驼就石	negative
血流成河	negative
寻章摘句	negative
废话连篇	negative
眉来眼去	negative
满城风雨	negative
口不应心	negative
以规为瑱	negative
雕虫小技	negative
昂头天外	negative
伐功矜能	negative
倔强倨傲	negative
自恃其才	negative
贪名逐利	negative
规求无度	negative
贪而无信	negative
雁过拔毛	negative
我靠	negative
