year,text,positive_score
2019,九典制药(300705.SZ)上半年预盈2791.56万元-2903.22万元格隆汇7月13日丨九典制药(300705.SZ)公布，预计2019年上半年归属于上市公司股东的净利润2791.56万元-2903.22万元，同比增长0%-4%。格隆汇7月13日丨九典制药(300705.SZ)公布，预计2019年上半年归属于上市公司股东的净利润2791.56万元-2903.22万元，同比增长0%-4%。报告期内，公司积极拓展业务，销售收入实现稳步增长，同时为进一步提升企业核心竞争力，公司加大研发投入，研发费用大幅增加。因此，报告期归属于上市公司股东的净利润较上年同期基本持平。预计报告期内公司非经常性损益对净利润的影响金额约150万元。,0.00899879
2019,医药板块异动，卫信康直线封板，九典制药、兴齐眼药、大理药业、易明医药等纷纷拉升。,0.990728463
2019,九典制药(300705.SZ)约394.64万股限售股解禁格隆汇7月11日丨九典制药(300705.SZ)公布，此次解除限售的股份数量约为394.64万股，占公司总股本1.6816%；此次实际可上市流通数量约为394.64万股，占公司总股本的1.6816%。此次限售股份可上市流通日为2019年7月16日(星期二)。格隆汇7月11日丨九典制药(300705.SZ)公布，此次解除限售的股份数量约为394.64万股，占公司总股本1.6816%；此次实际可上市流通数量约为394.64万股，占公司总股本的1.6816%。此次限售股份可上市流通日为2019年7月16日(星期二)。,4.44E-10
2019,医药板块走强，景峰医药率先封板，卫信康随后直线封板，九典制药、易明医药、尔康制药纷纷走强。,0.999999165
2019,九典制药：子公司取得原料药、药用辅料生产许可e公司讯，九典制药(300705)6月11日晚间公告，全资子公司九典宏阳于近日收到由湖南省药监局下发的《药品生产许可证》，该证的取得说明九典宏阳已取得原料药、药用辅料生产许可。e公司讯，九典制药(300705)6月11日晚间公告，全资子公司九典宏阳于近日收到由湖南省药监局下发的《药品生产许可证》，该证的取得说明九典宏阳已取得原料药、药用辅料生产许可。,0.999953852
2019,九典制药：全资子公司湖南九典宏阳制药收到《药品生产许可证》九典制药公告，全资子公司湖南九典宏阳制药有限公司于近日收到由湖南省药品监督管理局下发的《药品生产许可证》。（本文来自于界面）,0.068673508
2019,九典制药：5股东拟合计减持公司不超过3%股份。,0.860006584
2019,九典制药：近日收到由湖南省药品监督管理局下发的《药品GMP证书》。,0.000876236
2019,5月28日沪深两市最新交易提示【增发新股上市日】【增发新股上市日】青松股份【分红转增股权登记日】天通股份 地素时尚 北斗星通 天山股份 罗莱生活 银龙股份 三维股份 天龙股份 贵州燃气 深信服 汇金科技 蔚蓝生物 百川股份 百达精工 赛腾股份 弘亚数控 同兴达 雅运股份 亚威股份 莱绅通灵 新美星 东华测试 阳 光 城 北大医药 西安旅游 福耀玻璃 东方电缆 中国软件 杭州园林 美思德 新光药业 青龙管业 迦南科技 中航机电 海峡股份 炬华科技 云南旅游 湖南投资 哈工智能 万年青 冀中能源 长盈精密 木林森 联美控股 拓邦股份 伟星股份 *ST人乐 光库科技 永利股份 必创科技 迈瑞医疗 硕贝德 沃特股份 鹭燕医药 孚日股份 快意电梯 云图控股 精锻科技 新北洋 东华科技 京新药业 山东赫达 宁波港 口子窖【分红转增除权除息日】康拓红外 京投发展 香飘飘 普莱柯 九典制药 新开源 万通智控 全志科技 创源文化 山河智能 森马服饰 柳 工 深天马A 金达威 新宏泽 仙坛股份 云海金属 伊戈尔 联发股份 荣盛石化 天华超净 中科电气 华测检测 宜华健康 柳药股份 恒源煤电 威尔药业 捷昌驱动 永艺股份 得邦照明 合兴包装 金奥博 冀东水泥 赛升药业 中光防雷 贝达药业 精测电子 宁波水表 多伦科技 展鹏科技 汇嘉时代 朗科智能 长鹰信质 国光股份 荃银高科 传艺科技 隆利科技 光弘科技 先进数通 安利股份 华自科技 旺能环境 金陵体育 盛天网络 千红制药 新华锦 万盛股份 科林电气 威派格 保利地产【分红转增股份上市日】三祥新材 豪能股份 创源文化 仙坛股份 天华超净 宜华健康 金奥博 中光防雷 精测电子 日月股份 国光股份 隆利科技 光弘科技【分红转增红利发放日】康拓红外 京投发展 香飘飘 普莱柯 九典制药 新开源 万通智控 全志科技 创源文化 山河智能 森马服饰 柳 工 深天马A 金达威 新宏泽 仙坛股份 云海金属 伊戈尔 联发股份 荣盛石化 天华超净 中科电气 华测检测 柳药股份 恒源煤电 威尔药业 捷昌驱动 永艺股份 得邦照明 合兴包装 金奥博 冀东水泥 赛升药业 中光防雷 贝达药业 精测电子 宁波水表 多伦科技 展鹏科技 朗科智能 长鹰信质 国光股份 荃银高科 传艺科技 隆利科技 光弘科技 先进数通 安利股份 华自科技 旺能环境 金陵体育 盛天网络 千红制药 新华锦 万盛股份 科林电气 威派格 保利地产【股东大会召开日】光大证券 鄂尔多斯 鄂资B股 株冶集团 爱司凯 正丹股份 延长化建 长飞光纤 天药股份 陕西黑猫 山大华特 南方汇通 冠昊生物 普洛药业 东方铁塔 熙菱信息 大北农 东方证券 通宇通讯 振华重工 振华B股 中国电影 马应龙 金石资源 泰禾集团 天山生物 德尔股份 长城证券 远方信息 东兴证券 山河智能 拉夏贝尔 黄山胶囊 精伦电子 三六零 红墙股份 顺网科技 华录百纳 胜利股份 恺英网络 万里股份 纳思达 启迪桑德 北辰实业 威孚高科 苏威孚B 再升科技 新澳股份 国电南瑞 宝光股份 中国银河 派思股份 白银有色 开开实业 开开B股 林洋能源 华贸物流 片仔癀 共达电声 中国电建 西安银行 卓郎智能 广州发展 广西广电 慈文传媒 中航资本 新时达 金石东方 欣龙控股 铁岭新城 银宝山新 标准股份 鞍钢股份 豫园股份 上海凤凰 凤凰B股 麦捷科技 和科达 中船防务 科锐国际 中国中期 *ST升达 览海投资【股东资格登记日】长航凤凰 大连港 南京熊猫 圣龙股份 济民制药 大唐发电 三元股份 白云山 ST中南 上海电气 中煤能源 中集集团 城市传媒 沃森生物 康欣新材 东方通信 东信B股 高德红外 宝利国际 韩建河山 凯撒文化 泰永长征 青岛啤酒 新华保险 外高桥 外高B股 高争民爆 强生控股 西菱动力 南卫股份 凯莱英 捷成股份 赛轮轮胎 美尚生态 川投能源 中南建设 兴源环境 横店影视 *ST赫美 汇金股份 中原高速 金证股份 惠程科技 16信投01【实行特别处理日】天宝食品【首发新股网上发行日】因赛集团【首发新股网下询价配售开始日】因赛集团【增发新股招股书刊登日】凯莱英 芒果超媒 金徽酒 霞客环保,1
2019,湖南九典制药股份有限公司关于2019年第一季度报告披露的提示性公告,0.998587759
